./bin/ACT1\sub1\haus4.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\haus5.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\haus6.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\haus7.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\helbld.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\Inf-Brdg.bin            ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\infocen.bin             ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\isle.bin                ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\isle_hi.bin             ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\Jail.bin                ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\JailBrdg.bin            ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\jetblack.bin            ['_', 'X', 'X', 'X', 'X']
